Algoritmo,N_Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,4,0.3553709091857139,970.7794962839828,1.187561140844989
Hierarchical,4,0.35531171907109743,967.0229733182482,1.192655466373787
DBSCAN,53,0.09348980436184375,61.661119075774195,1.154887808075253
MeanShift,4,0.35402210084987945,908.6000492138725,1.1345558392985322
